"Year","Response","F","numerator_df","denominator_df","p.value"
"020","Carbon",13.4819788872317,3,19.1,0.0000586640221203633
"020","BTYW",8.86820192852079,3,18.4,0.000751104075257159
"020","GCKI",26.0329801609286,3,18.8,0.00000064929141801241
"020","HEWA",20.3283175476574,3,19.5,0.00000321920464213981
"020","OCWA",1.66811742282392,3,19.8,0.206072324778788
"020","RUHU",6.20869673438593,3,18.9,0.00406662722323557
"020","WIFL",7.2119043307609,3,15.6,0.00295170155231765
"020","WIWA",3.39735308234683,3,17.9,0.040618758173384
"020","MAMU",6.63520201761078,3,19.1,0.00295975868348269
"050","Carbon",21.6397394791422,3,16.8,0.0000052137344931807
"050","BTYW",37.0821254239689,3,16.2,0.000000178562905435316
"050","GCKI",51.7524567815164,3,19.1,0.00000000228884414403047
"050","HEWA",87.9934001772422,3,17.6,0.0000000000829714315962908
"050","OCWA",3.86544208390532,3,18,0.0269426306136044
"050","RUHU",27.9686892316664,3,19.1,0.000000338565999331924
"050","WIFL",104.232094471463,3,17.5,0.0000000000232493405974039
"050","WIWA",20.1667249454297,3,18.5,0.00000459407568083404
"050","MAMU",12.8737227753859,3,19.4,0.0000736855152976274
"100","Carbon",41.2123094366438,3,17.8,0.0000000329677141594584
"100","BTYW",926.498519593386,3,19.3,0.0000000000000000000046263388674586
"100","GCKI",45.4132585854212,3,19.3,0.00000000615602248714013
"100","HEWA",452.010950623747,3,18,0.0000000000000000409252384790261
"100","OCWA",123.784926856147,3,18.8,0.00000000000141606326534206
"100","RUHU",237.968283502643,3,19.1,0.00000000000000250510491474697
"100","WIFL",300.862763548867,3,15.6,0.0000000000000537510647270418
"100","WIWA",67.7487008628812,3,18.9,0.000000000269192735230199
"100","MAMU",52.4993198974433,3,19.2,0.00000000186821946283784
