"n","Response","Year","Power"
"4","BTYW","020",0.56
"5","BTYW","020",0.72
"6","BTYW","020",0.85
"7","BTYW","020",0.94
"8","BTYW","020",0.96
"9","BTYW","020",0.98
"Current selection","BTYW","020",0.99
"4","BTYW","050",0.99
"5","BTYW","050",1
"6","BTYW","050",1
"7","BTYW","050",1
"8","BTYW","050",1
"9","BTYW","050",1
"Current selection","BTYW","050",1
"4","BTYW","100",1
"5","BTYW","100",1
"6","BTYW","100",1
"7","BTYW","100",1
"8","BTYW","100",1
"9","BTYW","100",1
"Current selection","BTYW","100",1
"4","Carbon","020",0.74
"5","Carbon","020",0.9
"6","Carbon","020",0.97
"7","Carbon","020",0.99
"8","Carbon","020",1
"9","Carbon","020",1
"Current selection","Carbon","020",1
"4","Carbon","050",0.92
"5","Carbon","050",0.98
"6","Carbon","050",1
"7","Carbon","050",1
"8","Carbon","050",1
"9","Carbon","050",1
"Current selection","Carbon","050",1
"4","Carbon","100",0.99
"5","Carbon","100",1
"6","Carbon","100",1
"7","Carbon","100",1
"8","Carbon","100",1
"9","Carbon","100",1
"Current selection","Carbon","100",1
"4","GCKI","020",0.91
"5","GCKI","020",0.99
"6","GCKI","020",1
"7","GCKI","020",1
"8","GCKI","020",1
"9","GCKI","020",1
"Current selection","GCKI","020",1
"4","GCKI","050",1
"5","GCKI","050",1
"6","GCKI","050",1
"7","GCKI","050",1
"8","GCKI","050",1
"9","GCKI","050",1
"Current selection","GCKI","050",1
"4","GCKI","100",0.99
"5","GCKI","100",1
"6","GCKI","100",1
"7","GCKI","100",1
"8","GCKI","100",1
"9","GCKI","100",1
"Current selection","GCKI","100",1
"4","HEWA","020",0.89
"5","HEWA","020",0.97
"6","HEWA","020",1
"7","HEWA","020",1
"8","HEWA","020",1
"9","HEWA","020",1
"Current selection","HEWA","020",1
"4","HEWA","050",1
"5","HEWA","050",1
"6","HEWA","050",1
"7","HEWA","050",1
"8","HEWA","050",1
"9","HEWA","050",1
"Current selection","HEWA","050",1
"4","HEWA","100",1
"5","HEWA","100",1
"6","HEWA","100",1
"7","HEWA","100",1
"8","HEWA","100",1
"9","HEWA","100",1
"Current selection","HEWA","100",1
"4","MAMU","020",0.42
"5","MAMU","020",0.61
"6","MAMU","020",0.71
"7","MAMU","020",0.82
"8","MAMU","020",0.89
"9","MAMU","020",0.93
"Current selection","MAMU","020",0.95
"4","MAMU","050",0.71
"5","MAMU","050",0.87
"6","MAMU","050",0.96
"7","MAMU","050",0.99
"8","MAMU","050",1
"9","MAMU","050",1
"Current selection","MAMU","050",1
"4","MAMU","100",1
"5","MAMU","100",1
"6","MAMU","100",1
"7","MAMU","100",1
"8","MAMU","100",1
"9","MAMU","100",1
"Current selection","MAMU","100",1
"4","OCWA","020",0.14
"5","OCWA","020",0.16
"6","OCWA","020",0.23
"7","OCWA","020",0.26
"8","OCWA","020",0.3
"9","OCWA","020",0.35
"Current selection","OCWA","020",0.41
"4","OCWA","050",0.26
"5","OCWA","050",0.33
"6","OCWA","050",0.47
"7","OCWA","050",0.54
"8","OCWA","050",0.61
"9","OCWA","050",0.69
"Current selection","OCWA","050",0.76
"4","OCWA","100",1
"5","OCWA","100",1
"6","OCWA","100",1
"7","OCWA","100",1
"8","OCWA","100",1
"9","OCWA","100",1
"Current selection","OCWA","100",1
"4","RUHU","020",0.38
"5","RUHU","020",0.57
"6","RUHU","020",0.66
"7","RUHU","020",0.77
"8","RUHU","020",0.84
"9","RUHU","020",0.9
"Current selection","RUHU","020",0.94
"4","RUHU","050",0.98
"5","RUHU","050",1
"6","RUHU","050",1
"7","RUHU","050",1
"8","RUHU","050",1
"9","RUHU","050",1
"Current selection","RUHU","050",1
"4","RUHU","100",1
"5","RUHU","100",1
"6","RUHU","100",1
"7","RUHU","100",1
"8","RUHU","100",1
"9","RUHU","100",1
"Current selection","RUHU","100",1
"4","WIFL","020",0.42
"5","WIFL","020",0.59
"6","WIFL","020",0.69
"7","WIFL","020",0.82
"8","WIFL","020",0.88
"9","WIFL","020",0.93
"Current selection","WIFL","020",0.96
"4","WIFL","050",1
"5","WIFL","050",1
"6","WIFL","050",1
"7","WIFL","050",1
"8","WIFL","050",1
"9","WIFL","050",1
"Current selection","WIFL","050",1
"4","WIFL","100",1
"5","WIFL","100",1
"6","WIFL","100",1
"7","WIFL","100",1
"8","WIFL","100",1
"9","WIFL","100",1
"Current selection","WIFL","100",1
"4","WIWA","020",0.26
"5","WIWA","020",0.32
"6","WIWA","020",0.44
"7","WIWA","020",0.51
"8","WIWA","020",0.58
"9","WIWA","020",0.67
"Current selection","WIWA","020",0.72
"4","WIWA","050",0.88
"5","WIWA","050",0.97
"6","WIWA","050",0.99
"7","WIWA","050",1
"8","WIWA","050",1
"9","WIWA","050",1
"Current selection","WIWA","050",1
"4","WIWA","100",1
"5","WIWA","100",1
"6","WIWA","100",1
"7","WIWA","100",1
"8","WIWA","100",1
"9","WIWA","100",1
"Current selection","WIWA","100",1
